,iteration,metric,value
423,21100,$\mathcal{HU}_p$,-0.985201358795166
424,21200,mse,2.674722674049401
425,21200,$\mathcal{HU}_p$,-0.9854915142059326
426,21300,mse,2.674576694959062
427,21300,$\mathcal{HU}_p$,-0.9856815934181213
428,21400,mse,2.674424420557346
429,21400,$\mathcal{HU}_p$,-0.9859218001365662
430,21500,mse,2.674276002728548
431,21500,$\mathcal{HU}_p$,-0.985846221446991
432,21600,mse,2.6741281101345935
433,21600,$\mathcal{HU}_p$,-0.9853851199150085
434,21700,mse,2.673973384514866
435,21700,$\mathcal{HU}_p$,-0.9861171245574951
436,21800,mse,2.673821632461647
437,21800,$\mathcal{HU}_p$,-0.9857330918312073
438,21900,mse,2.6736665863454734
439,21900,$\mathcal{HU}_p$,-0.986120343208313
440,22000,mse,2.6736140164413364
441,22000,$\mathcal{HU}_p$,-0.9887874722480774
442,22100,mse,2.673354847043084
443,22100,$\mathcal{HU}_p$,-0.9865161776542664
444,22200,mse,2.673322143893512
445,22200,$\mathcal{HU}_p$,-0.9858912825584412
446,22300,mse,2.6730386561044743
447,22300,$\mathcal{HU}_p$,-0.9869070649147034
448,22400,mse,2.6731015819949113
449,22400,$\mathcal{HU}_p$,-0.9908508062362671
450,22500,mse,2.67271925041289
451,22500,$\mathcal{HU}_p$,-0.9871476888656616
452,22600,mse,2.6725781285924826
453,22600,$\mathcal{HU}_p$,-0.9856806993484497
454,22700,mse,2.672395018924914
455,22700,$\mathcal{HU}_p$,-0.9874432682991028
456,22800,mse,2.672232581934951
457,22800,$\mathcal{HU}_p$,-0.9875035881996155
458,22900,mse,2.672066798928994
459,22900,$\mathcal{HU}_p$,-0.9876906871795654
460,23000,mse,2.6719095044112953
461,23000,$\mathcal{HU}_p$,-0.988299548625946
462,23100,mse,2.671734002473448
463,23100,$\mathcal{HU}_p$,-0.9880056977272034
464,23200,mse,2.671571607017993
465,23200,$\mathcal{HU}_p$,-0.9878260493278503
466,23300,mse,2.671401180116227
467,23300,$\mathcal{HU}_p$,-0.9882720708847046
468,23400,mse,2.6712373841981183
469,23400,$\mathcal{HU}_p$,-0.9885927438735962
470,23500,mse,2.6710601587575447
471,23500,$\mathcal{HU}_p$,-0.9885563254356384
472,23600,mse,2.6709148949774053
473,23600,$\mathcal{HU}_p$,-0.9882882833480835
474,23700,mse,2.6707220704414794
475,23700,$\mathcal{HU}_p$,-0.9887961149215698
476,23800,mse,2.6705444751915994
477,23800,$\mathcal{HU}_p$,-0.989109218120575
478,23900,mse,2.670372404062445
479,23900,$\mathcal{HU}_p$,-0.9888812899589539
480,24000,mse,2.6701917324302764
481,24000,$\mathcal{HU}_p$,-0.989512026309967
482,24100,mse,2.670016865981964
483,24100,$\mathcal{HU}_p$,-0.9895016551017761
484,24200,mse,2.669832166421704
485,24200,$\mathcal{HU}_p$,-0.9896529316902161
486,24300,mse,2.6696586749948055
487,24300,$\mathcal{HU}_p$,-0.9898353815078735
488,24400,mse,2.66947769345465
489,24400,$\mathcal{HU}_p$,-0.9898768067359924
490,24500,mse,2.6693585336095222
491,24500,$\mathcal{HU}_p$,-0.9879006147384644
492,24600,mse,2.669108060855393
493,24600,$\mathcal{HU}_p$,-0.9901612401008606
494,24700,mse,2.668993415699974
495,24700,$\mathcal{HU}_p$,-0.9920340776443481
496,24800,mse,2.668732755277295
497,24800,$\mathcal{HU}_p$,-0.9905062317848206
498,24900,mse,2.668611043318241
499,24900,$\mathcal{HU}_p$,-0.9890245795249939
500,25000,mse,2.668359872278959
501,25000,$\mathcal{HU}_p$,-0.9907798171043396
502,25100,mse,2.6683245905860984
503,25100,$\mathcal{HU}_p$,-0.9938552975654602
504,25200,mse,2.6679753221047386
505,25200,$\mathcal{HU}_p$,-0.9912455677986145
506,25300,mse,2.6677898651388676
507,25300,$\mathcal{HU}_p$,-0.9922198057174683
508,25400,mse,2.6675838470210613
509,25400,$\mathcal{HU}_p$,-0.9911758303642273
510,25500,mse,2.667450340483412
511,25500,$\mathcal{HU}_p$,-0.9935510158538818
512,25600,mse,2.6671851622579927
513,25600,$\mathcal{HU}_p$,-0.9915565848350525
514,25700,mse,2.6711415332020385
515,25700,$\mathcal{HU}_p$,-0.9758337736129761
516,25800,mse,2.6667794573192762
517,25800,$\mathcal{HU}_p$,-0.9920355677604675
